"","0.00Fixed4.6","0.00Fixed6.4","0.00Fixed8.2","0.00Tracking4.6","0.00Tracking6.4","0.00Tracking8.2","0.25Fixed4.6","0.25Fixed6.4","0.25Fixed8.2","0.25Tracking4.6","0.25Tracking6.4","0.25Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.75Fixed4.6","0.75Fixed6.4","0.75Fixed8.2","0.75Tracking4.6","0.75Tracking6.4","0.75Tracking8.2","1.00Fixed4.6","1.00Fixed6.4","1.00Fixed8.2","1.00Tracking4.6","1.00Tracking6.4","1.00Tracking8.2"
"0.0330.3Northern",-4037.98,-4037.98,-4037.98,-4037.98,-4037.98,-4037.98,-602.76,-604.3,-607.19,-106.62,-107.75,-108.88,3975.82,3972.22,3965.48,5134.23,5131.58,5128.94,8555.3,8549.64,8539.05,10375.4,10371.25,10367.09,13134.71,13126.99,13112.56,15616.57,15610.91,15605.25
"0.0430.3Northern",-4037.98,-4037.98,-4037.98,-4037.98,-4037.98,-4037.98,545.51,543.97,541.08,1207.31,1206.18,1205.05,6654.54,6650.94,6644.2,8199.74,8197.09,8194.45,12764.77,12759.11,12748.52,15192.6,15188.45,15184.29,18874.91,18867.19,18852.76,22185.46,22179.8,22174.14
"0.0260.3Northern",-10495.48,-10495.48,-10495.48,-10495.48,-10495.48,-10495.48,-8208.53,-8210.07,-8212.96,-7878.05,-7879.18,-7880.31,-5160.4,-5164,-5170.74,-4388.78,-4391.43,-4394.07,-2111.67,-2117.33,-2127.92,-899.3,-903.45,-907.61,937.01,929.29,914.86,2590.18,2584.52,2578.86
"0.0360.3Northern",-10495.48,-10495.48,-10495.48,-10495.48,-10495.48,-10495.48,-7060.26,-7061.8,-7064.69,-6564.12,-6565.25,-6566.38,-2481.68,-2485.28,-2492.02,-1323.27,-1325.92,-1328.56,2097.8,2092.14,2081.55,3917.9,3913.75,3909.59,6677.21,6669.49,6655.06,9159.07,9153.41,9147.75
"0.0460.3Northern",-10495.48,-10495.48,-10495.48,-10495.48,-10495.48,-10495.48,-5911.99,-5913.53,-5916.42,-5250.19,-5251.32,-5252.45,197.04,193.44,186.7,1742.24,1739.59,1736.95,6307.27,6301.61,6291.02,8735.1,8730.95,8726.79,12417.41,12409.69,12395.26,15727.96,15722.3,15716.64
"0.0290.3Northern",-16952.98,-16952.98,-16952.98,-16952.98,-16952.98,-16952.98,-14666.03,-14667.57,-14670.46,-14335.55,-14336.68,-14337.81,-11617.9,-11621.5,-11628.24,-10846.28,-10848.93,-10851.57,-8569.17,-8574.83,-8585.42,-7356.8,-7360.95,-7365.11,-5520.49,-5528.21,-5542.64,-3867.32,-3872.98,-3878.64
"0.0390.3Northern",-16952.98,-16952.98,-16952.98,-16952.98,-16952.98,-16952.98,-13517.76,-13519.3,-13522.19,-13021.62,-13022.75,-13023.88,-8939.18,-8942.78,-8949.52,-7780.77,-7783.42,-7786.06,-4359.7,-4365.36,-4375.95,-2539.6,-2543.75,-2547.91,219.71,211.99,197.56,2701.57,2695.91,2690.25
"0.0490.3Northern",-16952.98,-16952.98,-16952.98,-16952.98,-16952.98,-16952.98,-12369.49,-12371.03,-12373.92,-11707.69,-11708.82,-11709.95,-6260.46,-6264.06,-6270.8,-4715.26,-4717.91,-4720.55,-150.23,-155.89,-166.48,2277.6,2273.45,2269.29,5959.91,5952.19,5937.76,9270.46,9264.8,9259.14
"0.0230.5Northern",-2884.27,-2884.27,-2884.27,-2884.27,-2884.27,-2884.27,-597.32,-598.86,-601.75,-266.84,-267.97,-269.1,2450.81,2447.21,2440.47,3222.43,3219.78,3217.14,5499.54,5493.88,5483.29,6711.91,6707.76,6703.6,8548.22,8540.5,8526.07,10201.39,10195.73,10190.07
"0.0330.5Northern",-2884.27,-2884.27,-2884.27,-2884.27,-2884.27,-2884.27,550.95,549.41,546.52,1047.09,1045.96,1044.83,5129.53,5125.93,5119.19,6287.94,6285.29,6282.65,9709.01,9703.35,9692.76,11529.11,11524.96,11520.8,14288.42,14280.7,14266.27,16770.28,16764.62,16758.96
"0.0430.5Northern",-2884.27,-2884.27,-2884.27,-2884.27,-2884.27,-2884.27,1699.22,1697.68,1694.79,2361.02,2359.89,2358.76,7808.25,7804.65,7797.91,9353.45,9350.8,9348.16,13918.48,13912.82,13902.23,16346.31,16342.16,16338,20028.62,20020.9,20006.47,23339.17,23333.51,23327.85
"0.0260.5Northern",-7496.77,-7496.77,-7496.77,-7496.77,-7496.77,-7496.77,-5209.82,-5211.36,-5214.25,-4879.34,-4880.47,-4881.6,-2161.69,-2165.29,-2172.03,-1390.07,-1392.72,-1395.36,887.04,881.38,870.79,2099.41,2095.26,2091.1,3935.72,3928,3913.57,5588.89,5583.23,5577.57
"0.0360.5Northern",-7496.77,-7496.77,-7496.77,-7496.77,-7496.77,-7496.77,-4061.55,-4063.09,-4065.98,-3565.41,-3566.54,-3567.67,517.03,513.43,506.69,1675.44,1672.79,1670.15,5096.51,5090.85,5080.26,6916.61,6912.46,6908.3,9675.92,9668.2,9653.77,12157.78,12152.12,12146.46
"0.0460.5Northern",-7496.77,-7496.77,-7496.77,-7496.77,-7496.77,-7496.77,-2913.28,-2914.82,-2917.71,-2251.48,-2252.61,-2253.74,3195.75,3192.15,3185.41,4740.95,4738.3,4735.66,9305.98,9300.32,9289.73,11733.81,11729.66,11725.5,15416.12,15408.4,15393.97,18726.67,18721.01,18715.35
"0.0290.5Northern",-12109.27,-12109.27,-12109.27,-12109.27,-12109.27,-12109.27,-9822.32,-9823.86,-9826.75,-9491.84,-9492.97,-9494.1,-6774.19,-6777.79,-6784.53,-6002.57,-6005.22,-6007.86,-3725.46,-3731.12,-3741.71,-2513.09,-2517.24,-2521.4,-676.78,-684.5,-698.93,976.39,970.73,965.07
"0.0390.5Northern",-12109.27,-12109.27,-12109.27,-12109.27,-12109.27,-12109.27,-8674.05,-8675.59,-8678.48,-8177.91,-8179.04,-8180.17,-4095.47,-4099.07,-4105.81,-2937.06,-2939.71,-2942.35,484.01,478.35,467.76,2304.11,2299.96,2295.8,5063.42,5055.7,5041.27,7545.28,7539.62,7533.96
"0.0490.5Northern",-12109.27,-12109.27,-12109.27,-12109.27,-12109.27,-12109.27,-7525.78,-7527.32,-7530.21,-6863.98,-6865.11,-6866.24,-1416.75,-1420.35,-1427.09,128.45,125.8,123.16,4693.48,4687.82,4677.23,7121.31,7117.16,7113,10803.62,10795.9,10781.47,14114.17,14108.51,14102.85
"0.0230.7Northern",-1730.56,-1730.56,-1730.56,-1730.56,-1730.56,-1730.56,556.39,554.85,551.96,886.87,885.74,884.61,3604.52,3600.92,3594.18,4376.14,4373.49,4370.85,6653.25,6647.59,6637,7865.62,7861.47,7857.31,9701.93,9694.21,9679.78,11355.1,11349.44,11343.78
"0.0330.7Northern",-1730.56,-1730.56,-1730.56,-1730.56,-1730.56,-1730.56,1704.66,1703.12,1700.23,2200.8,2199.67,2198.54,6283.24,6279.64,6272.9,7441.65,7439,7436.36,10862.72,10857.06,10846.47,12682.82,12678.67,12674.51,15442.13,15434.41,15419.98,17923.99,17918.33,17912.67
"0.0430.7Northern",-1730.56,-1730.56,-1730.56,-1730.56,-1730.56,-1730.56,2852.93,2851.39,2848.5,3514.73,3513.6,3512.47,8961.96,8958.36,8951.62,10507.16,10504.51,10501.87,15072.19,15066.53,15055.94,17500.02,17495.87,17491.71,21182.33,21174.61,21160.18,24492.88,24487.22,24481.56
"0.0260.7Northern",-4498.06,-4498.06,-4498.06,-4498.06,-4498.06,-4498.06,-2211.11,-2212.65,-2215.54,-1880.63,-1881.76,-1882.89,837.02,833.42,826.68,1608.64,1605.99,1603.35,3885.75,3880.09,3869.5,5098.12,5093.97,5089.81,6934.43,6926.71,6912.28,8587.6,8581.94,8576.28
"0.0360.7Northern",-4498.06,-4498.06,-4498.06,-4498.06,-4498.06,-4498.06,-1062.84,-1064.38,-1067.27,-566.7,-567.83,-568.96,3515.74,3512.14,3505.4,4674.15,4671.5,4668.86,8095.22,8089.56,8078.97,9915.32,9911.17,9907.01,12674.63,12666.91,12652.48,15156.49,15150.83,15145.17
"0.0460.7Northern",-4498.06,-4498.06,-4498.06,-4498.06,-4498.06,-4498.06,85.43,83.89,81,747.23,746.1,744.97,6194.46,6190.86,6184.12,7739.66,7737.01,7734.37,12304.69,12299.03,12288.44,14732.52,14728.37,14724.21,18414.83,18407.11,18392.68,21725.38,21719.72,21714.06
"0.0290.7Northern",-7265.56,-7265.56,-7265.56,-7265.56,-7265.56,-7265.56,-4978.61,-4980.15,-4983.04,-4648.13,-4649.26,-4650.39,-1930.48,-1934.08,-1940.82,-1158.86,-1161.51,-1164.15,1118.25,1112.59,1102,2330.62,2326.47,2322.31,4166.93,4159.21,4144.78,5820.1,5814.44,5808.78
"0.0390.7Northern",-7265.56,-7265.56,-7265.56,-7265.56,-7265.56,-7265.56,-3830.34,-3831.88,-3834.77,-3334.2,-3335.33,-3336.46,748.24,744.64,737.9,1906.65,1904,1901.36,5327.72,5322.06,5311.47,7147.82,7143.67,7139.51,9907.13,9899.41,9884.98,12388.99,12383.33,12377.67
"0.0490.7Northern",-7265.56,-7265.56,-7265.56,-7265.56,-7265.56,-7265.56,-2682.07,-2683.61,-2686.5,-2020.27,-2021.4,-2022.53,3426.96,3423.36,3416.62,4972.16,4969.51,4966.87,9537.19,9531.53,9520.94,11965.02,11960.87,11956.71,15647.33,15639.61,15625.18,18957.88,18952.22,18946.56
"0.0231.0Northern",0,0,0,0,0,0,2286.96,2285.42,2282.53,2617.44,2616.3,2615.17,5335.09,5331.48,5324.75,6106.7,6104.06,6101.42,8383.81,8378.15,8367.57,9596.18,9592.03,9587.88,11432.5,11424.78,11410.35,13085.67,13080,13074.34
"0.0331.0Northern",0,0,0,0,0,0,3435.23,3433.69,3430.8,3931.37,3930.23,3929.1,8013.81,8010.2,8003.47,9172.21,9169.57,9166.93,12593.28,12587.62,12577.04,14413.38,14409.23,14405.08,17172.7,17164.98,17150.55,19654.56,19648.89,19643.23
"0.0431.0Northern",0,0,0,0,0,0,4583.5,4581.96,4579.07,5245.3,5244.16,5243.03,10692.53,10688.92,10682.19,12237.72,12235.08,12232.44,16802.75,16797.09,16786.51,19230.58,19226.43,19222.28,22912.9,22905.18,22890.75,26223.45,26217.78,26212.12
"0.0261.0Northern",0,0,0,0,0,0,2286.96,2285.42,2282.53,2617.44,2616.3,2615.17,5335.09,5331.48,5324.75,6106.7,6104.06,6101.42,8383.81,8378.15,8367.57,9596.18,9592.03,9587.88,11432.5,11424.78,11410.35,13085.67,13080,13074.34
"0.0361.0Northern",0,0,0,0,0,0,3435.23,3433.69,3430.8,3931.37,3930.23,3929.1,8013.81,8010.2,8003.47,9172.21,9169.57,9166.93,12593.28,12587.62,12577.04,14413.38,14409.23,14405.08,17172.7,17164.98,17150.55,19654.56,19648.89,19643.23
"0.0461.0Northern",0,0,0,0,0,0,4583.5,4581.96,4579.07,5245.3,5244.16,5243.03,10692.53,10688.92,10682.19,12237.72,12235.08,12232.44,16802.75,16797.09,16786.51,19230.58,19226.43,19222.28,22912.9,22905.18,22890.75,26223.45,26217.78,26212.12
"0.0291.0Northern",0,0,0,0,0,0,2286.96,2285.42,2282.53,2617.44,2616.3,2615.17,5335.09,5331.48,5324.75,6106.7,6104.06,6101.42,8383.81,8378.15,8367.57,9596.18,9592.03,9587.88,11432.5,11424.78,11410.35,13085.67,13080,13074.34
"0.0391.0Northern",0,0,0,0,0,0,3435.23,3433.69,3430.8,3931.37,3930.23,3929.1,8013.81,8010.2,8003.47,9172.21,9169.57,9166.93,12593.28,12587.62,12577.04,14413.38,14409.23,14405.08,17172.7,17164.98,17150.55,19654.56,19648.89,19643.23
"0.0491.0Northern",0,0,0,0,0,0,4583.5,4581.96,4579.07,5245.3,5244.16,5243.03,10692.53,10688.92,10682.19,12237.72,12235.08,12232.44,16802.75,16797.09,16786.51,19230.58,19226.43,19222.28,22912.9,22905.18,22890.75,26223.45,26217.78,26212.12
"0.0231.2Northern",1153.71,1153.71,1153.71,1153.71,1153.71,1153.71,3440.67,3439.13,3436.24,3771.15,3770.01,3768.88,6488.8,6485.19,6478.46,7260.41,7257.77,7255.13,9537.52,9531.86,9521.28,10749.89,10745.74,10741.59,12586.21,12578.49,12564.06,14239.38,14233.71,14228.05
"0.0331.2Northern",1153.71,1153.71,1153.71,1153.71,1153.71,1153.71,4588.94,4587.4,4584.51,5085.08,5083.94,5082.81,9167.52,9163.91,9157.18,10325.92,10323.28,10320.64,13746.99,13741.33,13730.75,15567.09,15562.94,15558.79,18326.41,18318.69,18304.26,20808.27,20802.6,20796.94
"0.0431.2Northern",1153.71,1153.71,1153.71,1153.71,1153.71,1153.71,5737.21,5735.67,5732.78,6399.01,6397.87,6396.74,11846.24,11842.63,11835.9,13391.43,13388.79,13386.15,17956.46,17950.8,17940.22,20384.29,20380.14,20375.99,24066.61,24058.89,24044.46,27377.16,27371.49,27365.83
"0.0261.2Northern",2998.71,2998.71,2998.71,2998.71,2998.71,2998.71,5285.67,5284.13,5281.24,5616.15,5615.01,5613.88,8333.8,8330.19,8323.46,9105.41,9102.77,9100.13,11382.52,11376.86,11366.28,12594.89,12590.74,12586.59,14431.21,14423.49,14409.06,16084.38,16078.71,16073.05
"0.0361.2Northern",2998.71,2998.71,2998.71,2998.71,2998.71,2998.71,6433.94,6432.4,6429.51,6930.08,6928.94,6927.81,11012.52,11008.91,11002.18,12170.92,12168.28,12165.64,15591.99,15586.33,15575.75,17412.09,17407.94,17403.79,20171.41,20163.69,20149.26,22653.27,22647.6,22641.94
"0.0461.2Northern",2998.71,2998.71,2998.71,2998.71,2998.71,2998.71,7582.21,7580.67,7577.78,8244.01,8242.87,8241.74,13691.24,13687.63,13680.9,15236.43,15233.79,15231.15,19801.46,19795.8,19785.22,22229.29,22225.14,22220.99,25911.61,25903.89,25889.46,29222.16,29216.49,29210.83
"0.0291.2Northern",4843.71,4843.71,4843.71,4843.71,4843.71,4843.71,7130.67,7129.13,7126.24,7461.15,7460.01,7458.88,10178.8,10175.19,10168.46,10950.41,10947.77,10945.13,13227.52,13221.86,13211.28,14439.89,14435.74,14431.59,16276.21,16268.49,16254.06,17929.38,17923.71,17918.05
"0.0391.2Northern",4843.71,4843.71,4843.71,4843.71,4843.71,4843.71,8278.94,8277.4,8274.51,8775.08,8773.94,8772.81,12857.52,12853.91,12847.18,14015.92,14013.28,14010.64,17436.99,17431.33,17420.75,19257.09,19252.94,19248.79,22016.41,22008.69,21994.26,24498.27,24492.6,24486.94
"0.0491.2Northern",4843.71,4843.71,4843.71,4843.71,4843.71,4843.71,9427.21,9425.67,9422.78,10089.01,10087.87,10086.74,15536.24,15532.63,15525.9,17081.43,17078.79,17076.15,21646.46,21640.8,21630.22,24074.29,24070.14,24065.99,27756.61,27748.89,27734.46,31067.16,31061.49,31055.83
"0.0231.5Northern",2884.28,2884.28,2884.28,2884.28,2884.28,2884.28,5171.23,5169.69,5166.8,5501.71,5500.58,5499.45,8219.36,8215.76,8209.02,8990.98,8988.33,8985.69,11268.09,11262.43,11251.84,12480.46,12476.31,12472.15,14316.77,14309.05,14294.62,15969.94,15964.28,15958.62
"0.0331.5Northern",2884.28,2884.28,2884.28,2884.28,2884.28,2884.28,6319.5,6317.96,6315.07,6815.64,6814.51,6813.38,10898.08,10894.48,10887.74,12056.49,12053.84,12051.2,15477.56,15471.9,15461.31,17297.66,17293.51,17289.35,20056.97,20049.25,20034.82,22538.83,22533.17,22527.51
"0.0431.5Northern",2884.28,2884.28,2884.28,2884.28,2884.28,2884.28,7467.77,7466.23,7463.34,8129.57,8128.44,8127.31,13576.8,13573.2,13566.46,15122,15119.35,15116.71,19687.03,19681.37,19670.78,22114.86,22110.71,22106.55,25797.17,25789.45,25775.02,29107.72,29102.06,29096.4
"0.0261.5Northern",7496.78,7496.78,7496.78,7496.78,7496.78,7496.78,9783.73,9782.19,9779.3,10114.21,10113.08,10111.95,12831.86,12828.26,12821.52,13603.48,13600.83,13598.19,15880.59,15874.93,15864.34,17092.96,17088.81,17084.65,18929.27,18921.55,18907.12,20582.44,20576.78,20571.12
"0.0361.5Northern",7496.78,7496.78,7496.78,7496.78,7496.78,7496.78,10932,10930.46,10927.57,11428.14,11427.01,11425.88,15510.58,15506.98,15500.24,16668.99,16666.34,16663.7,20090.06,20084.4,20073.81,21910.16,21906.01,21901.85,24669.47,24661.75,24647.32,27151.33,27145.67,27140.01
"0.0461.5Northern",7496.78,7496.78,7496.78,7496.78,7496.78,7496.78,12080.27,12078.73,12075.84,12742.07,12740.94,12739.81,18189.3,18185.7,18178.96,19734.5,19731.85,19729.21,24299.53,24293.87,24283.28,26727.36,26723.21,26719.05,30409.67,30401.95,30387.52,33720.22,33714.56,33708.9
"0.0291.5Northern",12109.28,12109.28,12109.28,12109.28,12109.28,12109.28,14396.23,14394.69,14391.8,14726.71,14725.58,14724.45,17444.36,17440.76,17434.02,18215.98,18213.33,18210.69,20493.09,20487.43,20476.84,21705.46,21701.31,21697.15,23541.77,23534.05,23519.62,25194.94,25189.28,25183.62
"0.0391.5Northern",12109.28,12109.28,12109.28,12109.28,12109.28,12109.28,15544.5,15542.96,15540.07,16040.64,16039.51,16038.38,20123.08,20119.48,20112.74,21281.49,21278.84,21276.2,24702.56,24696.9,24686.31,26522.66,26518.51,26514.35,29281.97,29274.25,29259.82,31763.83,31758.17,31752.51
"0.0491.5Northern",12109.28,12109.28,12109.28,12109.28,12109.28,12109.28,16692.77,16691.23,16688.34,17354.57,17353.44,17352.31,22801.8,22798.2,22791.46,24347,24344.35,24341.71,28912.03,28906.37,28895.78,31339.86,31335.71,31331.55,35022.17,35014.45,35000.02,38332.72,38327.06,38321.4
"0.0231.8Northern",4614.84,4614.84,4614.84,4614.84,4614.84,4614.84,6901.8,6900.26,6897.37,7232.28,7231.14,7230.01,9949.93,9946.32,9939.59,10721.54,10718.9,10716.26,12998.65,12992.99,12982.41,14211.02,14206.87,14202.72,16047.34,16039.62,16025.19,17700.51,17694.84,17689.18
"0.0331.8Northern",4614.84,4614.84,4614.84,4614.84,4614.84,4614.84,8050.07,8048.53,8045.64,8546.21,8545.07,8543.94,12628.65,12625.04,12618.31,13787.05,13784.41,13781.77,17208.12,17202.46,17191.88,19028.22,19024.07,19019.92,21787.54,21779.82,21765.39,24269.4,24263.73,24258.07
"0.0431.8Northern",4614.84,4614.84,4614.84,4614.84,4614.84,4614.84,9198.34,9196.8,9193.91,9860.14,9859,9857.87,15307.37,15303.76,15297.03,16852.56,16849.92,16847.28,21417.59,21411.93,21401.35,23845.42,23841.27,23837.12,27527.74,27520.02,27505.59,30838.29,30832.62,30826.96
"0.0261.8Northern",11994.84,11994.84,11994.84,11994.84,11994.84,11994.84,14281.8,14280.26,14277.37,14612.28,14611.14,14610.01,17329.93,17326.32,17319.59,18101.54,18098.9,18096.26,20378.65,20372.99,20362.41,21591.02,21586.87,21582.72,23427.34,23419.62,23405.19,25080.51,25074.84,25069.18
"0.0361.8Northern",11994.84,11994.84,11994.84,11994.84,11994.84,11994.84,15430.07,15428.53,15425.64,15926.21,15925.07,15923.94,20008.65,20005.04,19998.31,21167.05,21164.41,21161.77,24588.12,24582.46,24571.88,26408.22,26404.07,26399.92,29167.54,29159.82,29145.39,31649.4,31643.73,31638.07
"0.0461.8Northern",11994.84,11994.84,11994.84,11994.84,11994.84,11994.84,16578.34,16576.8,16573.91,17240.14,17239,17237.87,22687.37,22683.76,22677.03,24232.56,24229.92,24227.28,28797.59,28791.93,28781.35,31225.42,31221.27,31217.12,34907.74,34900.02,34885.59,38218.29,38212.62,38206.96
"0.0291.8Northern",19374.84,19374.84,19374.84,19374.84,19374.84,19374.84,21661.8,21660.26,21657.37,21992.28,21991.14,21990.01,24709.93,24706.32,24699.59,25481.54,25478.9,25476.26,27758.65,27752.99,27742.41,28971.02,28966.87,28962.72,30807.34,30799.62,30785.19,32460.51,32454.84,32449.18
"0.0391.8Northern",19374.84,19374.84,19374.84,19374.84,19374.84,19374.84,22810.07,22808.53,22805.64,23306.21,23305.07,23303.94,27388.65,27385.04,27378.31,28547.05,28544.41,28541.77,31968.12,31962.46,31951.88,33788.22,33784.07,33779.92,36547.54,36539.82,36525.39,39029.4,39023.73,39018.07
"0.0491.8Northern",19374.84,19374.84,19374.84,19374.84,19374.84,19374.84,23958.34,23956.8,23953.91,24620.14,24619,24617.87,30067.37,30063.76,30057.03,31612.56,31609.92,31607.28,36177.59,36171.93,36161.35,38605.42,38601.27,38597.12,42287.74,42280.02,42265.59,45598.29,45592.62,45586.96
"0.0232.0Northern",5768.55,5768.55,5768.55,5768.55,5768.55,5768.55,8055.51,8053.97,8051.08,8385.99,8384.85,8383.72,11103.64,11100.03,11093.3,11875.25,11872.61,11869.97,14152.36,14146.7,14136.12,15364.73,15360.58,15356.43,17201.05,17193.33,17178.9,18854.22,18848.55,18842.89
"0.0332.0Northern",5768.55,5768.55,5768.55,5768.55,5768.55,5768.55,9203.78,9202.24,9199.35,9699.92,9698.78,9697.65,13782.36,13778.75,13772.02,14940.76,14938.12,14935.48,18361.83,18356.17,18345.59,20181.93,20177.78,20173.63,22941.25,22933.53,22919.1,25423.11,25417.44,25411.78
"0.0432.0Northern",5768.55,5768.55,5768.55,5768.55,5768.55,5768.55,10352.05,10350.51,10347.62,11013.85,11012.71,11011.58,16461.08,16457.47,16450.74,18006.27,18003.63,18000.99,22571.3,22565.64,22555.06,24999.13,24994.98,24990.83,28681.45,28673.73,28659.3,31992,31986.33,31980.67
"0.0262.0Northern",14993.55,14993.55,14993.55,14993.55,14993.55,14993.55,17280.51,17278.97,17276.08,17610.99,17609.85,17608.72,20328.64,20325.03,20318.3,21100.25,21097.61,21094.97,23377.36,23371.7,23361.12,24589.73,24585.58,24581.43,26426.05,26418.33,26403.9,28079.22,28073.55,28067.89
"0.0362.0Northern",14993.55,14993.55,14993.55,14993.55,14993.55,14993.55,18428.78,18427.24,18424.35,18924.92,18923.78,18922.65,23007.36,23003.75,22997.02,24165.76,24163.12,24160.48,27586.83,27581.17,27570.59,29406.93,29402.78,29398.63,32166.25,32158.53,32144.1,34648.11,34642.44,34636.78
"0.0462.0Northern",14993.55,14993.55,14993.55,14993.55,14993.55,14993.55,19577.05,19575.51,19572.62,20238.85,20237.71,20236.58,25686.08,25682.47,25675.74,27231.27,27228.63,27225.99,31796.3,31790.64,31780.06,34224.13,34219.98,34215.83,37906.45,37898.73,37884.3,41217,41211.33,41205.67
"0.0292.0Northern",24218.55,24218.55,24218.55,24218.55,24218.55,24218.55,26505.51,26503.97,26501.08,26835.99,26834.85,26833.72,29553.64,29550.03,29543.3,30325.25,30322.61,30319.97,32602.36,32596.7,32586.12,33814.73,33810.58,33806.43,35651.05,35643.33,35628.9,37304.22,37298.55,37292.89
"0.0392.0Northern",24218.55,24218.55,24218.55,24218.55,24218.55,24218.55,27653.78,27652.24,27649.35,28149.92,28148.78,28147.65,32232.36,32228.75,32222.02,33390.76,33388.12,33385.48,36811.83,36806.17,36795.59,38631.93,38627.78,38623.63,41391.25,41383.53,41369.1,43873.11,43867.44,43861.78
"0.0492.0Northern",24218.55,24218.55,24218.55,24218.55,24218.55,24218.55,28802.05,28800.51,28797.62,29463.85,29462.71,29461.58,34911.08,34907.47,34900.74,36456.27,36453.63,36450.99,41021.3,41015.64,41005.06,43449.13,43444.98,43440.83,47131.45,47123.73,47109.3,50442,50436.33,50430.67
